No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil,Poor20,Poor10
748,Decadal,574327,301697,TRUE,-12.346545,0.025505245,0.78475493,0.79170521,0.7788907,1.9243551,4.55464867,0.29487891,56,1.734556409,1.516122534,283.9469213,7.787020949,0.006730133,4.103461483,101291.0755,322.0741508,120.3808526,10.77464867,0.812401891,2.900000572,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,44.85221036,35.51648287,5001,0.286249995,Chalk,sand,loamy sand,#N/A,#N/A
751,Multiannual,445765,172445,TRUE,-391.3522,-20.355814,0.7690563,0.817406601,22.148731,3.9581769,0.441410977,0.477776491,1505,1.866100766,1.466674936,283.743855,8.427272862,0.006753945,3.521728265,100248.1197,322.1439143,122.6862065,94.12808228,1.671885967,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,28.04038051,168.1587598,51,0,Chalk,loam,clay loam,#N/A,#N/A
767,Multiannual,446125,176275,TRUE,-4.1766257,0.5305494,0.817687,0.830248899,1.3995757,1.165787,15.12695053,2.780945742,1270,1.916429353,1.422610889,283.5638707,8.427272862,0.006697105,3.52250048,99904.48852,321.3394248,119.5743738,123.6120758,4.962615013,3.900001526,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,26.92836753,61.54395241,51,5.540248871,Chalk,silt loam,loam,#N/A,#N/A
785,Annual,565468,119119,TRUE,-36.53604,-0.37139976,0.85703135,0.841685901,2.3638823,1.011123,6.004934762,1.341963484,58,2.458817086,1.391698945,283.8925505,6.103997887,0.00695311,4.222472418,100150.4385,320.574537,117.46779,104.6066589,7.66973877,18.20000458,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,3.694811257,83.70608256,501,0,Corallian Limestone,loam,clay loam,#N/A,#N/A
800,Annual,610570,143953,FALSE,-0.5629281,0.22117919,0.86655974,0.927658207,0.9242851,0.23644067,73.85123276,5.839832375,59,2.278806127,1.507769586,283.66263,6.701862052,0.006881277,4.496313059,99562.86381,319.4897937,127.324739,169.0644531,2.336825609,38.19999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,21.83665999,97.09112784,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
821,Annual,618650,146611,TRUE,-3.42517,-0.12694013,0.6663141,0.618124302,1.9893045,0.57582486,14.22939524,7.164220031,49,2.321193861,1.551519002,283.9630734,6.701862052,0.006981582,4.556851107,100157.1457,320.9104362,130.0968302,70.49347687,1.683564067,1.900001526,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,29.7384183,86.8823384,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
829,Annual,492225,115785,TRUE,-4.3773007,0.42638326,0.6909977,0.574859287,0.860063,0.5374297,105.0045851,6.685179462,40,2.943921141,1.578780037,283.4732511,6.336254195,0.006742431,5.661855524,99414.26342,318.9872617,126.7242109,196.3903351,5.204212666,63.30000305,19,37,44,1.409999967,0,0,0,0,550,0.015,13.01972866,94.60498772,1001,0,Chalk,loam,,#N/A,#N/A
834,Annual,505025,413865,FALSE,-41.86924,-4.0382686,0.8552116,0.864990838,1.1564885,6.033762,24.8739213,0.979779809,51,1.950383354,1.507692629,283.0495141,6.699781022,0.006490521,5.403729082,100233.5079,319.5223142,118.7172907,65.01764679,0.873165071,0,19,37,44,1.409999967,0,0,0,0,550,0.015,7.788375475,99.7656985,1001,0,Chalk,loam,,#N/A,#N/A
839,Annual,420155,121255,TRUE,-446.2202,-0.70778275,0.77159727,0.730048636,0.6096298,2.6468086,35.74835213,0.662802885,57,2.34381161,1.535491698,283.9516518,7.617962865,0.006878709,4.305938829,100374.2036,322.5790709,126.134627,87.1772995,5.620165825,20.80000305,51,17,32,1.220000029,52,19,29,1.230000019,520,0.005,14.04587188,104.3647134,1,0,Chalk,clay,clay,#N/A,#N/A
841,Annual,450424,534735,FALSE,-7746.7925,-9.389492,-0.04804897,0.011979278,7.6521463,8.911589,1.714488195,0.130255844,67,1.599069004,1.434428548,282.9462394,6.11478648,0.006409503,4.413396653,100698.1188,319.1285541,117.2261954,4.361652374,0.731606543,0.800000191,19,37,44,1.409999967,31,31,38,1.330000043,260,0.01,0.761789809,1686.851873,251,0,Magnesian Limestone,loam,clay loam,0,0
845,Annual,556450,127160,TRUE,-1115.8145,-9.1235895,0.5945573,0.656952545,11.0741005,1.913946,1.802426352,0.543923709,57,2.328313252,1.503999419,283.8651614,8.545290384,0.006900219,4.216700513,100186.0326,320.5025656,126.6893679,94.46768951,8.371164322,15.30000305,51,17,32,1.220000029,52,19,29,1.230000019,50,0.00014,0.300074035,196.342017,501,0,Corallian Limestone,clay,clay,#N/A,#N/A
848,Multiannual,459275,83955,TRUE,-114.10268,0.41205657,0.5740417,0.434126888,0.77039146,0.66605955,30.65664889,0.658043726,59,2.21429354,1.483176125,284.4294039,6.406078896,0.007064237,4.165869862,101281.8997,323.1608407,122.490965,37.60139465,8.107303619,35.20000076,4,87,9,1.730000019,4,88,8,1.74000001,270,0.0006,58.83224264,547.5314428,251,0,Lower Greensand,sand,sand,#N/A,#N/A
859,Multiannual,499825,119865,TRUE,-44.637295,-0.14076054,0.27583855,0.215645861,0.5123798,0.2657311,17.31612791,1.262740882,58,2.432201535,1.479222403,284.3612733,6.336254195,0.007002895,3.395691537,101215.1407,323.1834637,125.464417,34.38078308,9.356496811,16.49999809,21,39,40,1.399999976,21,41,38,1.399999976,270,0.0006,4.987096846,78.28291209,1001,0,Lower Greensand,loam,loam,#N/A,#N/A
874,Annual,523534,109306,TRUE,-51.229294,0.43368202,0.5672134,0.788230229,1.3241692,0.83169657,43.28240865,1.95550752,58,2.434227824,1.571734118,283.9070514,6.292935412,0.006916005,4.894364201,100236.1836,320.6414321,129.7166457,76.19085693,5.404318333,0,19,37,44,1.409999967,0,0,0,0,550,0.015,14.07305457,1037.787194,1,0,Chalk,loam,,#N/A,#N/A
875,Annual,593230,336904,FALSE,-22.893017,-0.121072054,0.8264135,0.825908802,1.0870713,2.1041305,16.73738573,0.311107475,1683,1.825465493,1.48045029,283.6770806,7.787020949,0.006707655,4.440239917,101084.8413,320.8535692,119.0070213,31.69808578,4.514039993,18.89999962,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,64.12356794,54.30560508,5001,0,Chalk,sandy loam,sandy loam,#N/A,#N/A
890,Decadal,434770,529240,FALSE,-2477.598,-2.6427197,0.0986266,0.135724177,0.5804756,4.5044303,37.75045226,0.319426611,1822,1.864567359,1.386386254,282.4353444,6.11478648,0.006251348,4.322075075,99604.54985,317.044802,114.3339226,107.3000031,3.060391665,11.69999695,22,41,37,1.399999976,29,37,34,1.350000024,260,0.01,0.759500651,138.0759607,251,0,Magnesian Limestone,loam,clay loam,0,0
900,Annual,624070,143381,TRUE,-32.063618,0.3060041,0.795502,0.793984962,0.42815286,0.6641404,52.46110156,5.247853956,56,2.466319825,1.517841161,283.7573236,6.701862052,0.006945893,4.57887711,99730.87635,319.991067,129.0668127,93.76413727,9.701795578,9.199996948,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,32.56448111,263.0944058,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
901,Multiannual,496495,163345,FALSE,-657.17285,-2.1241,0.8308738,0.813934194,2.203553,3.8780084,6.450939569,0.304864626,1825,1.738608978,1.475764327,284.1395305,8.449890581,0.006861416,3.452407897,100992.8462,322.9607716,122.5809114,46.60559845,0.953413188,18.90000153,4,86,10,1.730000019,5,85,10,1.700000048,75,0.05,6.409710655,648.202002,251,0,Chalk,loamy sand,loamy sand,#N/A,#N/A
902,Annual,538051,134071,TRUE,-1101.2867,-20.931324,0.38680378,0.444724477,22.908216,1.7993307,0.529669681,0.349966186,52,2.392606791,1.404207593,283.9416738,8.550876397,0.006877304,3.437189837,100437.476,321.044834,120.0170915,89.45890045,5.778010845,20.40000153,9,77,14,1.600000024,17,67,16,1.480000019,50,0.00014,5.885854623,351.4578196,251,0,Corallian Limestone,sandy loam,sandy loam,#N/A,#N/A
912,Annual,380005,265485,TRUE,-1.7758031,0.35971844,0.7413215,0.725079042,0.85652864,0.43214312,11.24074729,1.080016475,56,1.946768891,1.462544857,283.7167809,7.772891658,0.006739398,3.731729863,100548.1851,324.0488923,120.4413041,58.79610443,3.206155777,16.5,20,42,38,1.409999967,20,45,35,1.419999957,33,0.01,3.321172543,136.8836442,251,0,Triassic Sandstone,loam,loam,#N/A,#N/A
933,Annual,393077,187787,TRUE,-425.0662,-5.1515393,0.8257059,0.8548758,7.0828614,1.899943,1.956762211,0.577642309,38,2.016155526,1.467891515,283.8612703,7.50607898,0.00682251,3.695664024,100418.1272,323.7879099,122.0229676,71.983078,1.472618699,0,51,17,32,1.220000029,52,19,29,1.230000019,184,0.02,4.169786154,91.4065759,51,165383.6094,Oolites,clay,clay,#N/A,#N/A
947,Annual,591390,150250,TRUE,-5465.42,-2.3705144,0.8929721,0.877905713,2.1087973,4.181127,19.90448989,0.298806284,57,1.866100768,1.457672277,283.8888736,7.604655088,0.006888489,3.654372662,100122.7094,320.5489176,124.2745859,101.3436127,3.861094952,20,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,14.48474577,96.79135485,1001,893.15625,Lower Greensand,loam,clay loam,#N/A,#N/A
948,Annual,591385,150264,TRUE,-3705.996,-1.8106325,0.8926878,0.883043796,2.0978482,3.5851347,19.96767267,0.360409134,55,1.866100768,1.457672277,283.8888736,7.604655088,0.006888489,3.654372662,100122.7094,320.5489176,124.2745859,101.6409454,4.237512112,20,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,14.49433324,96.80684047,1001,893.15625,Lower Greensand,loam,clay loam,#N/A,#N/A
951,Decadal,459562,421081,TRUE,-15.52116,0.24208826,0.5553678,0.555931584,0.67217505,0.48109493,9.645599598,0.794899391,58,1.701752465,1.469885491,283.4128797,7.170043959,0.00655151,4.421145893,101301.429,321.8690247,117.0970911,9.496289253,0.571124256,4.899999619,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,1.504532302,103.2840632,51,11369.54199,Triassic Sandstone,sandy loam,sandy clay loam,#N/A,#N/A
954,Annual,504355,366275,FALSE,-4.680833,-0.015552044,0.3100655,0.39007989,0.7034865,0.31632188,12.06624654,1.636975149,60,1.774644026,1.45501598,283.5323102,7.04030681,0.006604883,3.806594994,101009.8193,321.7739733,118.6716686,33.09541321,0.791204274,9.800001144,19,37,44,1.409999967,31,31,38,1.330000043,184,0.02,0.051547967,184.3754954,751,0,Oolites,loam,clay loam,#N/A,#N/A
976,Annual,630528,160933,TRUE,-161.18735,-1.5538673,0.81467485,0.779965991,3.5456128,1.0880921,1.571917365,0.314604306,57,1.669386637,1.492066897,284.4859027,6.701862052,0.007104337,3.955956674,101221.2197,323.2280917,124.1675854,3.643671751,1.908362985,5.300000191,47,14,39,1.230000019,45,15,40,1.24000001,90,0.001,47.93949869,172.4868274,1001,0,Lower Greensand,clay,clay,#N/A,#N/A
983,Multiannual,615641,156674,TRUE,-83.52076,0.31509703,0.89189744,0.890467467,1.2018592,1.6454943,23.29696991,0.513877957,59,1.840854328,1.457346866,284.2845085,6.701862052,0.007028876,3.822884255,100832.2089,322.330694,122.1142973,36.75849533,1.071206689,14.20000076,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,33.87090341,730.1140638,1001,0,Lower Greensand,sandy loam,sandy loam,#N/A,#N/A
999,Multiannual,529955,398605,FALSE,-31.41653,-0.03951335,0.7462525,0.708300395,1.9526862,0.67047065,4.967610983,0.837031793,45,1.85520263,1.442171703,283.4699424,7.04030681,0.006631804,4.043627901,101203.734,321.162774,119.0876057,10.31427765,0.699929059,8.899999619,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,18.67577049,74.5290006,1001,0,Chalk,loam,clay loam,#N/A,#N/A
1000,Annual,427288,129080,TRUE,-22.536543,0.18637419,0.56962,0.629752677,0.46806443,0.5597679,21.30998311,2.370802562,58,2.22650602,1.477078991,284.0707589,8.146276078,0.006902225,3.535864218,100680.3514,323.1938083,124.4306121,70.47325897,3.044676542,13.10000229,19,37,44,1.409999967,0,0,0,0,100,0.005,18.5701437,61.51200295,1,0,Chalk,loam,,#N/A,#N/A
1004,Annual,450165,166985,TRUE,-8905.323,-22.022337,0.49924204,0.502083236,22.636557,8.850987,1.197005077,0.275524783,1824,1.89978094,1.452576211,283.9464753,8.427272862,0.006814917,3.50711396,100632.082,322.9303184,120.9099326,71.56791687,0.302090883,4,22,42,36,1.399999976,25,41,34,1.379999995,520,0.005,25.82453719,851.3502132,51,20444.89648,Chalk,loam,loam,#N/A,#N/A
1006,Multiannual,543076,179844,FALSE,-972.477,-18.846443,-0.10733434,-0.095921924,20.807959,0.4516855,1.032347652,0.65583301,40,1.5347207,1.462690392,284.3854599,8.545290384,0.00691578,3.541193734,101433.2971,323.5850255,118.9057954,1.429097652,0.522774398,2.099999905,19,37,44,1.409999967,0,0,0,0,550,0.015,4.206950323,7437.985778,1001,0,Chalk,loam,,0,0
1016,Annual,561803,157429,TRUE,-1722.0774,-0.0524261,0.38695055,0.349772046,0.20319375,1.3112429,31.02618447,0.595859192,1826,1.888882801,1.457470172,283.9198881,8.545290384,0.006837161,3.546519193,100367.3653,320.928849,123.0214514,90.3324585,3.873465061,8.900001526,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,10.44748075,276.6410566,251,40507.78516,Lower Greensand,loam,clay loam,#N/A,#N/A
1028,Decadal,621465,160512,TRUE,-8.841879,0.2764079,0.50676036,0.460919953,0.70920277,0.55757934,5.115077501,0.493190441,57,1.621960571,1.473149873,284.4669171,6.701862052,0.007079552,3.884340263,101201.0049,323.1486608,122.1972054,8.648586273,3.377366781,8,20,47,33,1.419999957,20,51,29,1.429999948,90,0.001,40.73714801,216.7546891,1001,0,Oolites,loam,loam,#N/A,#N/A
1041,Annual,502455,349805,TRUE,-1033.5302,-8.347365,0.11101001,0.000746136,1.1331029,10.304125,28.9743057,0.126485996,57,1.729518071,1.495091149,283.4646018,7.04030681,0.006579831,4.521040806,100716.5569,321.4400261,117.4612065,50.82062149,0.330717355,13.09999847,54,22,24,1.230000019,44,34,22,1.279999971,130,0.0005,9.778037152,140.1891738,751,0,Oolites,clay,clay,2,2
1045,Multiannual,306798,93736,TRUE,-1024.759,-1.2141006,-0.53523564,-0.541049097,2.0205526,2.226286,14.87392815,0.475894864,1826,2.44819277,1.52488368,283.9315233,7.064950844,0.007011427,4.756342975,99966.22131,324.0712112,128.9462451,108.7417984,1.312549114,28.19999695,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,0.138509271,168.1443766,51,0,Triassic Sandstone,sandy loam,sandy loam,0,0
1062,Annual,566590,118030,FALSE,-453.2896,-12.911385,0.16277115,0.138510976,14.885485,0.8614713,1.782758571,1.163287354,56,2.419824754,1.484946932,283.8161367,6.103997887,0.006936004,4.222981284,99995.00379,320.2104728,126.9138524,118.91008,3.996004343,40.29999542,9,77,14,1.600000024,17,67,16,1.480000019,50,0.00014,3.722892359,83.60456091,1,0,Corallian Limestone,sandy loam,sandy loam,1,1
1064,Annual,627710,143150,TRUE,-26.66039,0.104688406,0.50209135,0.614902961,0.28845042,0.782361,11.66378946,1.602148019,1799,2.488389924,1.52221105,284.0399283,6.701862052,0.007042193,3.852370562,100293.3343,321.3479551,131.9883704,46.20616913,2.680003405,5,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,35.73584768,562.021809,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1074,Annual,618955,143886,TRUE,-7.003232,0.05700928,0.8358195,0.852367037,0.7112245,0.117455415,90.0818323,9.704221692,59,2.414403068,1.418282957,283.7394906,6.701862052,0.006927836,4.544223723,99703.03819,319.886897,119.0931877,147.4718323,1.259901404,59.69999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,28.40082747,141.18949,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1089,Annual,453405,186005,TRUE,-8906.585,-17.066935,0.38269088,0.430862633,17.860283,7.4625964,0.965132913,0.172909288,58,1.729353779,1.446023492,283.9946701,7.847316624,0.006809552,3.516397318,100769.2218,323.4151605,118.986834,62.55271912,0.636102915,8.999996185,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,19.62498308,456.0869223,251,0,Chalk,loam,clay loam,#N/A,#N/A
1092,Annual,462355,114355,TRUE,-1.2989829,0.50811213,0.9082964,0.902636917,1.163686,0.5453014,28.0343373,3.251122622,60,2.411500552,1.453523377,284.0828612,6.406078896,0.006914796,3.434772697,100648.3962,322.2768363,123.8455739,67.65250397,0.633584857,29.20000458,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,40.68281264,129.6632918,101,0,Chalk,loam,clay loam,#N/A,#N/A
1108,Annual,465875,394485,TRUE,-74.93139,-0.39986968,-0.014741523,0.258109217,0.38112435,0.26045477,15.9485157,1.14080318,58,1.677382257,1.492025901,283.4995453,7.156845677,0.006579475,4.426667459,101235.2385,322.2517657,118.1553756,13.0235157,0.403234452,5.899999619,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,4.544586257,237.4103281,1001,951.838562,Triassic Sandstone,sandy loam,sandy loam,0,0
1116,Annual,448265,182115,TRUE,-54.795662,-0.33866,0.61388934,0.624867488,2.2756453,0.874865,18.59429013,3.195335229,1790,1.928587077,1.508349053,283.484928,7.847316624,0.006667576,4.278270928,99721.26153,321.0259069,122.5679767,128.5601501,9.193787575,5,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,24.66242409,85.62966978,51,0,Chalk,loam,loam,#N/A,#N/A
1119,Multiannual,489605,366055,FALSE,-2.9874687,0.61120236,0.7936381,0.766385842,1.3101271,1.1113589,1.823101157,0.301510467,55,1.765881716,1.448243667,283.6026688,7.722836944,0.006616665,3.734681803,101215.3865,322.3556118,117.9038941,14.35382843,0.322075784,2.600000381,9,78,13,1.600000024,23,64,13,1.429999948,20,0.0015,11.89563303,324.7935385,751,53568.56641,Triassic Sandstone,sandy loam,sandy clay loam,#N/A,#N/A
1120,Multiannual,467865,184125,TRUE,-2173.2422,-2.8881664,0.23447043,0.174792626,0.70276695,4.8004622,96.9608508,0.621193743,60,1.97918948,1.494719108,283.3155686,7.847316624,0.006605555,4.249807232,99381.40904,319.9113446,121.4797577,175.2158508,1.004248977,36,24,48,28,1.399999976,34,41,25,1.330000043,520,0.005,6.567861314,136.8136205,251,0,Chalk,sandy clay loam,clay loam,1,0
1121,Annual,490105,327025,FALSE,-164.78104,-0.09024465,0.2955066,0.354967258,1.4568142,1.6954466,24.5160111,0.877439935,50,1.860021908,1.48176485,283.1015493,8.170701117,0.006472129,4.434378126,99901.16379,319.867742,118.1588517,120.8214111,1.687005043,7,48,23,29,1.25,45,26,29,1.25999999,130,0.0005,12.77346886,48.53513458,751,0,Oolites,clay,clay,#N/A,#N/A
1127,Annual,614960,318020,TRUE,-5.891622,-1.0418084,0.51112765,0.550461214,2.9009252,0.43742776,0.544602579,0.417539538,54,1.833954,1.524362692,283.7946855,7.324315532,0.006742174,4.6041263,101112.0179,320.881002,121.3421254,22.50034332,3.509184361,6.600000381,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,86.31138267,210.7575057,1001,0,Chalk,loam,clay loam,#N/A,#N/A
1137,Annual,451585,142555,TRUE,-20.883354,-0.36465096,0.9620899,0.949914557,0.8113175,2.3510141,28.31822113,1.19836968,60,2.144578313,1.504809799,283.7981751,8.427272862,0.0067968,4.239339465,100222.1558,321.7425298,122.9882305,103.2318878,0.530748069,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,40.77424346,80.82547211,1,0,Chalk,loam,loam,#N/A,#N/A
1148,Annual,426272,162664,TRUE,-721.31805,-3.1824622,0.43633682,0.513656734,2.6001368,4.8229446,8.740033829,0.52773921,56,2.069989052,1.462645775,283.5670051,8.146276078,0.006724043,4.320162958,99803.27118,321.4690697,118.869378,134.1864624,2.322672129,7.199996948,19,37,44,1.409999967,0,0,0,0,550,0.015,28.55248564,37.85776454,51,21.31223869,Chalk,loam,,#N/A,#N/A
1162,Annual,501855,369645,FALSE,-4.349639,0.44243878,0.5220869,0.45943406,0.89906704,0.7311407,10.68124724,0.503840529,57,1.787513694,1.507286979,283.492946,7.04030681,0.006592978,4.551786094,100955.7545,321.6429786,119.0776428,28.30405426,1.862667084,10.60000038,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,0.661048557,678.2816251,751,0,Oolites,clay,clay,#N/A,#N/A
1163,Annual,571006,337418,TRUE,-338.66812,-0.048843145,0.43292692,0.519865596,0.23157647,0.5663822,15.27175762,0.637520041,45,1.697590368,1.547305179,283.6381785,7.787020949,0.006670339,4.961812864,101016.8128,321.0253796,121.5975018,29.77820206,1.814736485,0.799999237,10,82,8,1.590000033,17,75,8,1.5,550,0.015,47.38454032,123.8243224,1001,0,Chalk,loamy sand,sandy loam,#N/A,#N/A
1172,Annual,607856,150448,TRUE,-43.05926,0.11634493,0.60979974,0.630819136,0.436212,0.44256583,25.99082699,2.224207692,59,2.048849942,1.397401661,284.1926862,7.604655088,0.007009192,3.745461935,100710.5185,321.9514131,118.168885,56.79218292,3.96509099,12.20000076,19,37,44,1.409999967,0,0,0,0,550,0.015,23.97593657,109.3453851,1001,0,Chalk,loam,,#N/A,#N/A
1173,Annual,550640,105680,TRUE,-565.4001,-2.2696643,0.7688143,0.805027004,3.5797758,2.995504,5.931654117,0.64604617,58,2.288335156,1.420448091,284.2140546,6.103997887,0.007069991,3.406261182,100797.9164,321.9880986,124.371846,47.4276886,2.672615528,21.30000114,19,37,44,1.409999967,0,0,0,0,300,0.03,6.376480789,145.4687871,1,16.13020897,Lower Greensand,loam,,#N/A,#N/A
1184,Annual,555265,133204,FALSE,-203.3066,-39.221313,0.66487324,0.686048587,41.219795,0.8573226,0.317614358,0.895018738,57,2.384665937,1.35361867,283.8898683,8.545290384,0.006887331,3.471657953,100248.2565,320.6666146,116.146227,94.75866699,4.947782516,27.80000305,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,0.140267282,253.3048114,251,0,Corallian Limestone,loam,clay loam,#N/A,#N/A
1188,Decadal,513965,422615,TRUE,-13.973692,0.13533932,0.49030817,0.451854173,1.5465027,1.4349643,1.466238084,0.219541531,58,1.826451256,1.479955517,283.4126912,6.699781022,0.006609578,4.729513421,101065.8884,321.1047,118.7148404,2.818824291,5.304968357,1.699999928,21,36,43,1.389999986,23,34,43,1.379999995,550,0.015,16.91419058,108.5612305,1001,0,Chalk,loam,loam,#N/A,#N/A
1205,Multiannual,378375,263555,TRUE,-97.15091,-0.8260765,-0.36556804,-0.286678233,1.2115613,2.1937478,19.34920091,0.429747629,54,1.967196058,1.449836077,283.7303559,7.772891658,0.006745798,3.73672563,100561.321,324.1083135,119.3125517,74.10975647,1.855733633,24.69999695,20,42,38,1.409999967,20,45,35,1.419999957,33,0.01,2.954942012,80.04593518,251,0,Triassic Sandstone,loam,loam,0,0
1213,Annual,510601,471998,TRUE,-0.87763524,0.3999685,0.45612115,0.391368544,1.0979574,0.7662526,28.41923099,2.798601321,58,1.985815989,1.453148383,282.8519702,6.475027417,0.006481285,4.801826415,100218.1602,318.3489285,121.5908242,53.82492065,3.827138662,12.09999847,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,2.826764407,107.7101571,51,0,Chalk,loam,loam,#N/A,#N/A
1225,Annual,625064,162957,TRUE,-3.3843641,0.37888175,0.7754287,0.770795215,1.5277895,0.7616851,1.138985422,0.301119838,58,1.553943046,1.501862843,284.4996507,6.701862052,0.007083349,3.921498144,101269.6844,323.266958,124.2637926,2.313640594,0.435338795,1.600000143,21,36,43,1.389999986,23,34,43,1.379999995,90,0.001,45.04572698,117.5688221,1001,0,Carboniferous Limestone,loam,loam,#N/A,#N/A
1230,Multiannual,487499,432648,TRUE,-79.401115,-6.123746,-0.14864457,0.061125162,8.023588,0.6873027,0.56786955,0.449524055,59,1.800876236,1.421964988,283.3683797,7.297097527,0.006565926,3.814153364,101269.0872,321.2171228,117.9826473,4.572106838,0.349703312,1.5,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,3.387989213,95.04033598,51,483.192627,Triassic Sandstone,sand,sand,0,0
1241,Multiannual,511985,425405,TRUE,-236.59688,-1.0290899,0.19651894,0.186422959,2.8395607,1.2960527,2.213705811,0.265403301,58,1.802902518,1.47494532,283.4056387,6.699781022,0.006606416,4.720487149,101077.3147,321.0925125,118.2864051,3.122843742,8.254410744,0,47,14,39,1.230000019,45,15,40,1.24000001,550,0.015,14.99700005,883.7346446,1001,0,Chalk,clay,clay,1,1
1247,Annual,430498,148712,TRUE,-1.1324973,0.16352206,0.84016466,0.819019065,0.50763685,0.34294116,7.083758108,2.764997289,1826,2.060788602,1.462571392,283.8691295,8.146276078,0.006822538,3.542725428,100349.3256,322.5749903,123.0112492,89.80073547,0.851353943,0,19,37,44,1.409999967,0,0,0,0,550,0.015,29.09831394,201.7682076,1,0,Chalk,loam,,#N/A,#N/A
1248,Annual,559069,102106,TRUE,-234.9861,-6.680637,0.6210236,0.622752108,8.264944,3.4635987,0.963584916,0.464334161,58,2.30739321,1.367500191,284.1749,6.103997887,0.007089103,3.415595903,100716.2319,321.8057677,120.8140508,24.84513664,3.924776554,4.5,21,44,35,1.409999967,25,40,35,1.370000005,300,0.03,6.219926599,1516.437549,1,0,Lower Greensand,loam,loam,#N/A,#N/A
1263,Decadal,503785,304255,FALSE,-41.670647,-0.24711525,0.45730454,0.379645587,0.54264915,2.0254838,6.480283459,0.472043556,58,1.684775466,1.506018678,283.49571,7.961938764,0.006583093,4.443640649,100513.7747,321.3457343,118.0642714,78.46942139,0.586743414,5.900001526,22,42,36,1.399999976,0,0,0,0,130,0.0005,1.977816774,329.7249332,101,0,Oolites,loam,,#N/A,#N/A
1275,Decadal,570128,168950,TRUE,-12076.917,-1.6161916,-0.61495763,-0.511590544,0.602332,3.0194736,80.84536057,0.292704062,59,1.743921138,1.534658034,283.8574099,8.545290384,0.006800461,4.367081154,100266.9837,320.6012955,123.978168,102.1007843,3.863007307,27.69999695,10,75,15,1.580000043,15,68,17,1.50999999,90,0.001,23.17617137,1124.09674,251,0,Chalk,sandy loam,sandy loam,1,1
1278,Annual,523470,127695,FALSE,-42.922485,-2.1040199,0.79150593,0.806915223,4.096673,0.95417374,1.550535551,0.727813612,54,2.266922234,1.48190899,283.9512025,8.550876397,0.006883135,4.165065835,100451.0517,321.1236893,122.5395065,89.89442444,0.510534406,5.699996948,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,0.486447137,147.5683248,1,0,Corallian Limestone,loam,clay loam,#N/A,#N/A
1281,Annual,502675,315495,FALSE,-34.77821,-0.11983979,0.5696471,0.72390066,0.27125397,0.2666744,11.85889542,1.460557669,54,1.68044907,1.484838837,283.6770585,7.961938764,0.00663459,3.704363084,100976.3347,322.2920951,120.3740155,36.36389542,1.95681572,6.800001144,22,42,36,1.399999976,0,0,0,0,130,0.0005,5.853806088,71.84249205,101,0,Oolites,loam,,#N/A,#N/A
