No,Wavelet transform,period,label,easting,northing,lat,long,Aquifer,Top Soil,Sub Soil,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,train,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std,test,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std
709,Multiannual,7.1,Studham,503140,215900,51.832194,-0.5046,Chalk,sandy clay loam,clay loam,1.983233558,1.439706224,282.582886,7.768495066,0.006334848,4.48729689,99520.07776,317.5865119,116.0536135,,1987,2014,28,1.128767123,1032,304,105,28,36.85714286,10.85714286,3.75,25.50960414,6.403564822,,2015,2019,5,0.309589041,51,51,20,5,10.2,10.2,4,30.77403015,3.13674209
710,Annual,1,Whelford,416545,199235,51.691621,-1.762037,Oolites,loam,loam,1.895679613,1.405520473,283.1418726,7.673734289,0.006542417,3.775889435,100473.7583,321.2810214,116.9576599,,2002,2014,13,0,4474,147,49,13,344.1538462,11.30769231,3.769230769,0.727864538,0.195957762,,2015,2019,5,0.002739726,1825,60,20,5,365,12,4,0.791792594,0.145935901
711,Annual,1,Martinstown,365161,88822,50.697988,-2.494645,Chalk,loam,,2.833365816,1.394773105,283.2647965,7.594616927,0.006691497,4.48291529,100229.6843,320.1884166,117.7189564,,1992,2014,23,0.342465753,278,263,91,23,12.08695652,11.43478261,3.956521739,4.504418722,2.665138834,,2015,2019,5,0.139726027,54,53,20,5,10.8,10.6,4,4.470136814,2.644027019
717,Annual,1,Castle Eaton,415095,196165,51.664059,-1.783145,Oolites,loam,loam,1.889846395,1.404443274,283.1680002,7.673734289,0.006553457,3.776756501,100510.1284,321.3825063,116.9197175,,2002,2014,13,0.284931507,4370,145,49,13,336.1538462,11.15384615,3.769230769,1.091603117,0.393163229,,2015,2019,5,0,1826,60,20,5,365.2,12,4,1.204498852,0.444501555
719,Multiannual,3,Syderstone,583440,331530,52.850006,0.722737,Chalk,loamy sand,sandy clay loam,1.938321963,1.474123542,282.8258656,7.663905529,0.006420403,5.108075742,100744.4854,318.6731998,117.7176689,,1996,2014,19,1.084931507,170,168,69,19,8.947368421,8.842105263,3.631578947,1.701985743,1.046083558,,2015,2017,3,0.17260274,30,30,11,3,10,10,3.666666667,1.92910339,0.658911982
725,Multiannual,5.3,Harlow,544949,212362,51.791132,0.100289,Chalk,loam,loam,1.633546798,1.438182643,283.2784034,7.991563422,0.006535115,3.806290183,100893.9987,320.2035203,117.5415522,,1999,2014,16,0.920547945,176,173,61,16,11,10.8125,3.8125,18.0164743,0.582090302,,2015,2019,5,0.304109589,52,52,20,5,10.4,10.4,4,18.52695507,0.759419936
734,Annual,1,Brick  Kiln Barns,555158,237027,52.009983,0.259287,Lower Greensand,clay,clay,1.64977029,1.446489561,282.9463316,7.940990308,0.006426914,4.669185871,100341.1727,318.7520088,113.3975321,,1999,2014,16,0.252054795,177,176,63,16,11.0625,11,3.9375,39.69130934,0.982829821,,2015,2019,5,0.191780822,47,47,18,5,9.4,9.4,3.6,40.00078283,0.908798001
737,Decadal,14.2,Tholthorpe,447443,466389,54.091214,-1.276142,Triassic Sandstone,sand,sand,1.715337137,1.408584255,282.607759,7.343361654,0.00625238,4.622084492,100959.3684,319.9514125,111.3324914,,1971,2014,44,1.002739726,13093,493,167,44,297.5681818,11.20454545,3.795454545,7.955728067,0.424682099,,2015,2019,5,0.265753425,1728,58,20,5,345.6,11.6,4,7.620308535,0.166675729
739,Annual,1,Naphens Farm,577902,279029,52.380389,0.612361,Chalk,sandy loam,sandy loam,1.71140656,1.426947212,283.1495322,7.966193337,0.006481961,4.138817651,101095.7397,319.8019223,114.79972,,1999,2014,16,0.638356164,186,160,60,16,11.625,10,3.75,32.78958536,3.14212064,,2015,2019,5,0.402739726,49,48,19,5,9.8,9.6,3.8,33.9595678,2.730339512
745,Annual,1,Foxhill,457050,139850,51.155066,-1.185638,Chalk,sandy clay loam,clay loam,2.209476078,1.368535447,283.0667009,8.220511404,0.006547805,3.546241872,100203.0349,319.2443635,117.2686145,,1973,2014,42,0.476712329,7532,475,163,42,179.3333333,11.30952381,3.880952381,27.65022373,1.600174591,,2015,2019,5,0.18630137,1667,58,20,5,333.4,11.6,4,27.82283381,1.106128048
746,Multiannual,7.1,Shocklach,343906,349183,53.036956,-2.837988,Triassic Sandstone,loam,clay loam,1.84257738,1.373324999,283.0578564,6.868870948,0.006475516,3.965158018,100957.148,322.8140851,112.3027039,,1975,2014,40,0.673972603,13436,459,155,40,335.9,11.475,3.875,12.70830375,0.290901144,,2015,2019,5,0,1826,60,20,5,365.2,12,4,12.90141389,0.181023346
750,Annual,1,Hillfield Farm,596282,312398,52.673717,0.90174,Chalk,loam,loam,1.877678778,1.423589496,282.9323179,7.663905529,0.006451908,4.363948549,100788.0416,318.8331885,115.8781067,,1974,2014,41,1.476712329,772,392,148,41,18.82926829,9.56097561,3.609756098,1.803913394,0.5339287,,2015,2019,5,0.789041096,1230,45,18,5,246,9,3.6,1.924454527,0.381456552
752,Annual,1,Dalton Estates,496522,445190,53.893897,-0.5327,Chalk,loam,clay loam,1.914135225,1.414690402,282.5340283,7.308882087,0.006286956,4.858990701,100910.1628,319.009168,114.3670725,,1971,2014,44,0.169863014,9323,520,176,44,211.8863636,11.81818182,4,15.18893387,3.340289866,,2015,2019,5,0.093150685,1657,60,20,5,331.4,12,4,14.88285176,2.830470923
762,Annual,1,South Newbald,491101,436199,53.814091,-0.617829,Triassic Sandstone,loam,,1.866429994,1.413335987,282.5393465,7.308882087,0.006278622,4.816761041,100834.2684,319.114484,113.5074188,,1980,2014,35,0.734246575,402,381,137,35,11.48571429,10.88571429,3.914285714,1.287482957,0.67088633,,2015,2019,5,0.339726027,52,51,19,5,10.4,10.2,3.8,0.972761373,0.710726642
768,Annual,1,Macaroni Wood,418025,204515,51.739048,-1.740355,Oolites,loam,clay loam,1.994111095,1.385380871,282.9501966,7.673734289,0.006484263,3.780811205,100112.2978,320.4396641,115.6612807,,1980,2014,35,0.887671233,6102,392,134,35,174.3428571,11.2,3.828571429,15.64162433,3.333533459,,2015,2019,5,0,1826,60,20,5,365.2,12,4,15.95836925,3.231528936
769,Multiannual,7.1,Fenemere,344325,322295,52.795322,-2.827121,Triassic Sandstone,sandy loam,sandy loam,1.884008538,1.373619948,282.8420352,7.456531633,0.006437237,4.002015808,100344.0816,321.6449765,113.7185484,,1994,2014,21,0.189041096,7464,247,84,21,355.4285714,11.76190476,4,22.26582143,0.248445095,,2015,2019,5,0.019178082,1808,60,20,5,361.6,12,4,22.3315872,0.279690076
779,Annual,1.9,Gypsey Race Rudston,509575,468102,54.097144,-0.325922,Corallian Limestone,loam,clay loam,1.892923105,1.374919696,282.4438129,6.532711498,0.006293125,4.214372117,100547.2997,318.4026275,115.3958183,,1979,2014,36,1.284931507,2893,391,136,36,80.36111111,10.86111111,3.777777778,2.402273074,2.146381109,,2015,2019,5,0.095890411,1791,59,20,5,358.2,11.8,4,2.714035186,1.847031378
783,Multiannual,6.1,Ranscombe,571102,167825,51.383677,0.457453,Chalk,loam,loam,1.776189148,1.444785292,283.3723589,8.253918987,0.006639496,3.779349284,100843.7178,319.8977056,121.6411896,,1971,2014,44,0.632876712,394,388,171,44,8.954545455,8.818181818,3.886363636,70.78373901,0.417494537,,2015,2019,5,0.117808219,60,60,20,5,12,12,4,70.67195728,0.398040199
786,Annual,1,Mallam Waters,417320,200058,51.698998,-1.750784,Oolites,loam,loam,1.898798087,1.402892781,283.1431457,7.673734289,0.006541293,3.774745437,100482.1371,321.2899406,116.6625524,,2004,2014,11,0.271232877,115,113,41,11,10.45454545,10.27272727,3.727272727,1.22499084,0.111885034,,2015,2019,5,0.331506849,56,55,20,5,11.2,11,4,1.272669411,0.109869908
801,Annual,1,Hartridge Farm,457045,177915,51.497301,-1.179628,Chalk,silt loam,loam,1.944442896,1.465811886,282.9008841,8.220511404,0.006466808,4.403550983,100018.4165,319.21308,119.8733154,,1971,2014,44,1.509589041,439,419,159,43,10.20930233,9.744186047,3.697674419,61.92319525,3.487308042,,2015,2019,5,0.257534247,57,56,20,5,11.4,11.2,4,62.64355931,2.390886294
813,Multiannual,7.1,Hoole Hall,342881,368122,53.20707,-2.856651,Triassic Sandstone,loam,clay loam,1.899345675,1.413919068,282.9286594,6.868870948,0.006425071,4.690695567,100820.9365,322.2885151,112.14422,,1992,2014,23,0.21369863,7815,264,89,23,339.7826087,11.47826087,3.869565217,23.67270635,0.244127107,,2015,2019,5,0,1826,60,20,5,365.2,12,4,23.75086899,0.105392122
814,Annual,1,Queen Manor Farm,418320,138780,51.147988,-1.739464,Chalk,loam,,2.137751171,1.420933303,283.130774,7.947018429,0.006582019,3.640749086,100255.1701,320.0629044,121.8590002,,2003,2014,12,2.583561644,2887,104,36,10,288.7,10.4,3.6,30.68595834,0.873356063,,2015,2019,5,0.353424658,1660,57,20,5,332,11.4,4,30.9909335,0.628000529
816,Annual,1,Hannington Road,416905,196385,51.665986,-1.756966,Oolites,loam,loam,1.871274767,1.403724687,283.171735,7.673734289,0.006552936,3.771156199,100519.3671,321.3749527,116.8150723,,2004,2014,11,0.334246575,120,114,43,11,10.90909091,10.36363636,3.909090909,0.832073993,0.308751507,,2015,2019,5,0.495890411,54,53,19,5,10.8,10.6,3.8,0.905138808,0.349098437
819,Annual,1,Bottom Barn,451385,174845,51.470241,-1.261601,Chalk,sandy clay loam,clay loam,1.976681052,1.375238414,282.9650387,8.220511404,0.006489464,3.648673011,100133.1853,319.5355681,115.9533051,,1974,2014,41,1.147945205,883,448,158,41,21.53658537,10.92682927,3.853658537,27.12735374,2.395385022,,2015,2019,5,0.189041096,59,58,20,5,11.8,11.6,4,28.10632335,1.48863989
825,Annual,1,The Old Farm,473785,147315,51.220269,-0.944859,Chalk,loam,loam,2.163938,1.359404033,282.9942131,8.204714845,0.006516966,3.548116467,100109.1587,318.8355476,116.1794123,,1971,2014,44,1.180821918,469,465,168,44,10.65909091,10.56818182,3.818181818,33.31180965,2.689246159,,2015,2019,5,0.232876712,57,57,20,5,11.4,11.4,4,33.96777381,2.305474129
831,Annual,1,Skipton on Swale,436232,479718,54.21191,-1.445937,Triassic Sandstone,sandy loam,sandy loam,1.731370363,1.347792883,282.5514412,7.343361654,0.00622592,3.817482913,100916.6828,319.7886305,110.3308016,,1991,2014,24,0.838356164,250,246,89,24,10.41666667,10.25,3.708333333,1.44322985,0.364391051,,2015,2019,5,0.150684932,59,56,20,5,11.8,11.2,4,1.522981714,0.380297968
833,Multiannual,7.1,Houghton Farm,309010,88029,50.684774,-3.289347,Triassic Sandstone,sand,sand,2.367543736,1.469395753,283.7663842,6.729059364,0.006904182,4.073858352,100986.0781,323.3550519,127.2199552,,1980,2014,35,0.216438356,9629,417,140,35,275.1142857,11.91428571,4,12.18239834,0.311952086,,2015,2019,5,0,1826,60,20,5,365.2,12,4,12.05944951,0.184070334
835,Annual,1,Silver Dyke Chalk,620949,156972,51.269044,1.166016,Chalk,loam,clay loam,1.8617198,1.421483242,283.5768064,6.381855311,0.006796795,4.077416904,101034.2602,320.8191623,120.0834645,,1999,2014,16,0.517808219,4359,177,63,16,272.4375,11.0625,3.9375,0.672552386,0.408520679,,2015,2019,5,0,1826,60,20,5,365.2,12,4,0.710390424,0.417789927
836,Annual,1,Silver Dyke Gravel,620950,156970,51.269025,1.166029,Chalk,loam,clay loam,1.8617198,1.421483242,283.5768064,6.381855311,0.006796795,4.077416904,101034.2602,320.8191623,120.0834645,,1999,2014,16,0.515068493,203,157,62,16,12.6875,9.8125,3.875,1.0669053,0.385362793,,2015,2019,5,0.353424658,53,53,20,5,10.6,10.6,4,1.019856317,0.392565387
837,Multiannual,7.1,Alexandra Park,486225,192835,51.627728,-0.755711,Chalk,sandy clay loam,clay loam,2.098027749,1.372155475,283.0487214,8.020335061,0.006486398,3.664940458,100354.9413,319.7111604,113.9299399,,1994,2014,21,0.273972603,237,225,83,21,11.28571429,10.71428571,3.952380952,9.749378305,0.208528014,,2015,2019,5,0.18630137,53,53,20,5,10.6,10.6,4,9.805336429,0.100856778
840,Annual,1,Stapenhill,425455,322305,52.797701,-1.623906,Triassic Sandstone,sandy loam,sandy loam,1.821017217,1.372534043,282.94603,7.555826268,0.006401844,3.85351454,100727.3303,321.5790954,110.7107065,,2000,2014,15,0.38630137,5105,174,58,15,340.3333333,11.6,3.866666667,1.319753616,0.232318151,,2015,2019,5,0.008219178,1812,60,20,5,362.4,12,4,1.267216237,0.203823172
856,Annual,1,Dalehead Farm,420776,368997,53.217615,-1.690313,Carboniferous Limestone,sandy clay loam,clay loam,2.634006219,1.255596843,282.2028376,6.465172406,0.006176128,2.353990747,99506.87258,318.3504009,112.6912658,,1976,2014,39,0.660273973,614,427,151,39,15.74358974,10.94871795,3.871794872,23.2954276,0.507022164,,2015,2019,5,0.246575342,58,58,20,5,11.6,11.6,4,23.1791915,0.468968338
861,Annual,1,Snetterton Hall,599467,291039,52.480796,0.935934,Chalk,loam,clay loam,1.729625503,1.431103532,283.1664336,7.966193337,0.006508602,4.304077485,101230.3995,319.6963565,115.4287258,,1999,2014,16,0.169863014,186,183,63,16,11.625,11.4375,3.9375,6.304890751,0.569407051,,2015,2019,5,0.375342466,42,42,19,5,8.4,8.4,3.8,6.304860029,0.461157041
865,Annual,1,Churchill Way,434655,146655,51.218044,-1.505184,Chalk,loam,,2.117689915,1.391131856,283.2643555,7.947018429,0.006605135,3.614252709,100570.0309,320.6416246,117.9926512,,1999,2014,16,0.205479452,181,180,63,16,11.3125,11.25,3.9375,9.309600465,0.631579969,,2015,2019,5,0.109589041,60,60,20,5,12,12,4,9.506337113,0.492479667
870,Annual,1,Acres Down,426755,109725,50.886395,-1.621011,Chalk,sandy loam,sandy loam,2.491656224,1.456460192,283.4087287,7.384454044,0.006680632,4.281816702,100692.7831,320.5383132,121.7835154,,2002,2014,13,0.2,149,147,52,13,11.46153846,11.30769231,4,6.824928324,0.602102273,,2015,2019,5,0.123287671,61,60,20,5,12.2,12,4,6.865843716,0.460397746
871,Annual,1,Highgate Hall,500472,453664,53.969283,-0.469833,Chalk,loam,clay loam,1.826386374,1.409841559,282.5889424,6.690779161,0.006309953,4.891724192,100865.2715,319.2118007,113.3652135,,1984,2014,31,1.243835616,350,339,117,31,11.29032258,10.93548387,3.774193548,6.044231343,0.837967877,,2015,2019,5,0.17260274,56,56,20,5,11.2,11.2,4,5.887595629,0.824105556
873,Annual,1,Ampney Crucis,405920,201920,51.715973,-1.915703,Oolites,clay,clay,2.132818228,1.441808919,282.9155177,7.673734289,0.006486283,4.566103349,100016.7953,320.3760258,117.1149284,,1971,2014,44,0.298630137,7058,511,173,44,160.4090909,11.61363636,3.931818182,7.745813058,1.079293676,,2015,2019,5,0.01369863,1785,60,20,5,357,12,4,7.555628005,1.044968049
895,Annual,1,Bockhampton,433596,177933,51.499338,-1.517401,Chalk,sandy clay loam,clay loam,2.157093135,1.386827591,282.752717,7.947018429,0.006436699,3.691740672,99666.98682,318.8471065,117.8789844,,1975,2014,40,1.194520548,5769,437,152,39,147.9230769,11.20512821,3.897435897,1.320241343,0.970579396,,2015,2019,5,0.016438356,1790,60,20,5,358,12,4,1.46846717,0.866858008
903,Annual,1,Crabwood,443455,129215,51.060632,-1.381291,Chalk,loam,,2.287813818,1.427313525,282.9414009,8.220511404,0.006524569,4.297982105,99907.21656,318.6076824,119.8349416,,1986,2014,29,1.019178082,973,324,110,29,33.55172414,11.17241379,3.793103448,27.32722634,2.330229618,,2015,2019,5,0.167123288,58,58,20,5,11.6,11.6,4,27.7665319,2.154374721
906,Annual,1,Dudgrove Farm,418834,197239,51.673603,-1.729029,Oolites,clay,clay,1.849009233,1.462108947,283.1461435,7.673734289,0.00654348,4.522657758,100474.0425,321.2443459,117.6747343,,2004,2014,11,0.246575342,115,110,43,11,10.45454545,10,3.909090909,1.038062851,0.294554484,,2015,2019,5,0.246575342,56,55,20,5,11.2,11,4,1.098738317,0.306651133
913,Annual,1,Kings Somborne,435756,130753,51.074991,-1.490995,Chalk,loam,,2.25554318,1.371533568,283.460443,8.220511404,0.006674091,3.566067272,100954.1499,321.192564,116.3932605,,1986,2014,29,0.169863014,3938,333,113,29,135.7931034,11.48275862,3.896551724,2.499173952,0.580359294,,2015,2019,5,0,1826,60,20,5,365.2,12,4,2.619899929,0.471328904
926,Annual,1,Bucklebury,455615,171065,51.435857,-1.201301,Chalk,clay,clay,1.93870249,1.465118832,283.20086,8.220511404,0.006556771,4.390352666,100598.4025,320.5353208,118.8835162,,1991,2014,24,0.646575342,5715,265,93,24,238.125,11.04166667,3.875,7.100812137,0.759593039,,2015,2019,5,0.232876712,1659,57,20,5,331.8,11.4,4,7.434274891,0.468314698
944,Annual,1,Alton Town,471667,139431,51.149658,-0.976751,Chalk,loam,,2.434372825,1.403353851,283.0458908,8.204714845,0.006540332,3.526028504,100185.922,318.9401311,120.7740312,,1991,2014,24,2.060273973,3801,241,85,23,165.2608696,10.47826087,3.695652174,1.326570009,0.315068844,,2015,2019,5,0,1826,60,20,5,365.2,12,4,1.403513291,0.224627536
946,Annual,1,Upper Barpham,506555,108475,50.865968,-0.487194,Chalk,clay,clay,2.30760128,1.417816629,283.165916,5.977641657,0.006632551,4.181619246,100277.9684,318.4677044,120.7776728,,1977,2014,38,2.2,341,333,140,37,9.216216216,9,3.783783784,38.88760899,0.328460929,,2015,2019,5,0.252054795,57,55,20,5,11.4,11,4,38.96519658,0.335535844
956,Annual,1,Priory Deep,621658,156502,51.264549,1.175872,Chalk,loam,clay loam,1.91702631,1.387857864,283.5555756,6.381855311,0.006795824,4.084524419,100990.3463,320.7288235,117.1839322,,1999,2014,16,0.323287671,4898,186,62,16,306.125,11.625,3.875,22.50472654,0.747724945,,2015,2019,5,0,1826,60,20,5,365.2,12,4,22.70486121,0.645006516
960,Multiannual,7.1,Whitlands,330507,91412,50.718161,-2.985744,Triassic Sandstone,silt loam,loam,2.609049143,1.470057582,282.9727206,6.825736699,0.006642538,5.454355208,99584.23072,319.4098943,124.2822214,,1984,2014,31,0.550684932,7376,349,120,31,237.9354839,11.25806452,3.870967742,71.28050801,0.395732193,,2015,2019,5,0.350684932,1605,55,20,5,321,11,4,71.25641825,0.158886114
962,Decadal,21.3,Barmby Barrage,468222,428659,53.749832,-0.966908,Triassic Sandstone,loam,loam,1.659320615,1.427539957,282.8275651,7.308882087,0.006333684,4.707669817,101309.0137,320.768587,112.0693958,,1989,2014,26,0.175342466,4979,303,103,26,191.5,11.65384615,3.961538462,5.83578626,0.541624431,,2015,2019,5,0.243835616,1649,56,20,5,329.8,11.2,4,5.488396364,0.298526626
963,Annual,1,Eastburn Warren,498165,457075,54.000372,-0.503891,Chalk,sandy loam,sandy loam,1.878973502,1.376292631,282.5290259,6.532711498,0.006291926,4.128203889,100600.8919,318.9518619,113.9920124,,1973,2014,42,1.150684932,490,437,155,42,11.66666667,10.4047619,3.69047619,10.91661553,2.566079837,,2015,2019,5,0.178082192,58,58,20,5,11.6,11.6,4,10.93700259,2.56558762
967,Annual,1,North Marden,480775,116135,50.939008,-0.85175,Chalk,loam,loam,2.783586244,1.440110792,282.9694137,6.021393112,0.006547762,4.200997888,99901.36102,317.9515149,122.4287554,,1975,2014,40,0.55890411,394,358,152,40,9.85,8.95,3.8,45.72687354,1.215351066,,2015,2019,5,0.306849315,54,54,19,5,10.8,10.8,3.8,45.8946673,0.942599432
973,Annual,1,Moat Farm,596253,292374,52.493947,0.889457,Chalk,loam,clay loam,1.765692143,1.447870925,283.1230881,7.966193337,0.006493859,4.28945353,101151.2433,319.5398316,117.3433358,,1999,2014,16,0.208219178,186,183,63,16,11.625,11.4375,3.9375,0.902662895,0.704643018,,2015,2019,5,0.591780822,46,46,19,5,9.2,9.2,3.8,1.112312264,0.73610442
975,Annual,0.2,The Hollins Farm,346365,321895,52.791934,-2.796804,Triassic Sandstone,loam,clay loam,1.904352869,1.399887937,282.7458701,7.456531633,0.006409318,4.751748776,100147.1744,321.1822892,112.2777471,,1996,2014,19,1.052054795,252,188,70,19,13.26315789,9.894736842,3.684210526,30.16457633,0.544269531,,2015,2019,5,0.246575342,54,53,20,5,10.8,10.6,4,30.0751385,0.634168282
977,Annual,1,Bass Charrington,447756,443533,53.88578,-1.274932,Magnesian Limestone,loam,clay loam,1.801652047,1.432854218,282.6509595,7.197851421,0.006269651,4.628210502,101087.957,320.1981375,113.6565482,,1975,2014,40,1.169863014,3975,441,153,40,99.375,11.025,3.825,23.84136103,0.594201863,,2015,2019,5,0.268493151,1694,58,20,5,338.8,11.6,4,23.64555307,0.58979573
978,Annual,1,Baileys Down,438175,127435,51.045001,-1.456817,Chalk,sandy clay loam,clay loam,2.237268551,1.447025909,283.0746769,8.220511404,0.006565767,4.304307906,100165.0924,319.2584359,121.3413899,,1971,2014,44,1.038356164,1824,495,168,44,41.45454545,11.25,3.818181818,47.52990134,5.39203069,,2015,2019,5,0.161643836,60,59,20,5,12,11.8,4,48.56371932,4.903972027
989,Annual,1,Heath Cottage,571275,270019,52.301577,0.510509,Chalk,sand,loamy sand,1.557984129,1.441716274,283.3096291,7.966193337,0.006522606,4.080414719,101352.7082,320.5599987,115.5568865,,1999,2014,16,1.24109589,160,156,58,16,10,9.75,3.625,5.33186726,0.583278688,,2015,2019,5,0.326027397,44,44,19,5,8.8,8.8,3.8,5.722418396,0.56266499
991,Multiannual,7.1,London Road Sittingbourne,593810,162941,51.332521,0.780732,Chalk,loam,clay loam,1.662545825,1.406934016,283.6459235,7.311773177,0.006753956,3.893477303,101260.4155,321.0842912,117.1188413,,1984,2014,31,0.454794521,374,331,121,31,12.06451613,10.67741935,3.903225806,6.047528414,0.989459036,,2015,2019,5,0.265753425,56,56,20,5,11.2,11.2,4,5.940648161,0.939059163
1005,Annual,1,Westmill,534470,215060,51.81799,-0.050507,Chalk,sandy loam,sandy loam,1.694899993,1.427146339,283.1693785,7.768495066,0.006499489,3.787206856,100685.4848,319.8712801,116.8676839,,1989,2014,26,0.808219178,259,257,94,26,9.961538462,9.884615385,3.615384615,30.91017475,0.493935862,,2015,2019,5,0.273972603,48,48,20,5,9.6,9.6,4,31.05709157,0.219229138
1009,Annual,1,Ellerdine Grange,360325,321455,52.789188,-2.589747,Permian Sandstone,sand,sand,1.820543876,1.417537412,282.8861665,7.456531633,0.006433893,4.707905909,100456.2038,321.8101484,112.6678979,,1999,2014,16,0.216438356,5621,188,63,16,351.3125,11.75,3.9375,1.252371608,0.357442407,,2015,2019,5,0.021917808,1818,60,20,5,363.6,12,4,1.221524202,0.29733525
1013,Annual,1,Stores Cottage,371695,219735,51.875453,-2.412553,Triassic Sandstone,loam,clay loam,2.245672652,1.486537451,283.131715,7.367098251,0.006567396,4.703733054,100472.6283,321.9730262,120.7142021,,1973,2014,42,0.304109589,647,480,167,42,15.4047619,11.42857143,3.976190476,2.358607113,1.210880122,,2015,2019,5,0.197260274,54,48,20,5,10.8,9.6,4,2.3750594,1.269077695
1018,Annual,1,Kings Wood,440604,219308,51.870868,-1.411649,Oolites,clay,clay,1.928702027,1.450060935,282.8021628,7.708993464,0.006416516,4.511651756,99965.72194,319.652941,116.8467336,,2002,2014,13,0.383561644,3907,143,49,13,300.5384615,11,3.769230769,36.49890889,1.396033775,,2015,2019,5,0.150684932,1769,59,20,5,353.8,11.8,4,36.70044557,1.368638317
1026,Annual,1,Middleton Carr,477736,484861,54.253517,-0.808327,Corallian Limestone,sandy loam,sandy loam,1.872184322,1.35608687,282.4561045,7.16409579,0.006244646,4.018300385,100758.2251,318.813544,112.7190027,,1983,2014,32,1.01369863,360,344,124,32,11.25,10.75,3.875,2.240963303,0.84227694,,2015,2019,5,0.238356164,50,50,18,5,10,10,3.6,2.00182997,0.590599831
1027,Annual,1,Came Estate Dairy,371067,89099,50.700804,-2.411046,Chalk,loam,clay loam,2.800023203,1.438865474,283.4934803,7.594616927,0.006752683,3.703903282,100705.265,321.2151933,125.2888458,,1992,2014,23,0.479452055,271,263,91,23,11.7826087,11.43478261,3.956521739,2.431793095,0.627320223,,2015,2019,5,0.142465753,55,54,20,5,11,10.8,4,2.415407989,0.625360617
1032,Multiannual,7.1,Missenden Abbey,489819,200922,51.69986,-0.701728,Chalk,silt loam,loam,2.173363032,1.395400403,282.7599811,8.020335061,0.006398184,3.68539875,99810.13004,318.4260742,116.8295849,,1991,2014,24,0.452054795,496,271,92,24,20.66666667,11.29166667,3.833333333,2.042184994,1.700606651,,2015,2019,5,0.284931507,76,46,20,5,15.2,9.2,4,2.399358168,0.84017711
1040,Multiannual,7.1,Bledlow Ridge,479775,197855,51.673805,-0.847729,Chalk,sandy clay loam,clay loam,2.201972249,1.473747887,282.6280046,8.020335061,0.006366041,4.432968286,99532.00357,317.9121893,120.8597594,,1987,2014,28,1.378082192,306,297,106,28,10.92857143,10.60714286,3.785714286,92.28206848,3.633429397,,2015,2019,5,0.438356164,52,52,19,5,10.4,10.4,3.8,94.00324746,2.220867714
1044,Annual,0.4,Hyde Hall Farm,534170,232700,51.976568,-0.047998,Chalk,clay,clay,1.700951318,1.418649542,282.8085437,7.768495066,0.006386305,3.833694244,100052.4304,318.3716714,116.8947205,,1982,2014,33,1.15890411,342,341,124,33,10.36363636,10.33333333,3.757575758,41.98658693,1.296302963,,2015,2019,5,0.265753425,48,48,20,5,9.6,9.6,4,42.01776383,0.845926411
1049,Annual,1,Pella Farm,370295,227975,51.949462,-2.433602,Triassic Sandstone,loam,clay loam,1.977520998,1.446927559,283.1373808,7.367098251,0.006563707,4.711787966,100530.5211,322.117597,116.8548192,,1973,2014,42,0.915068493,619,464,161,42,14.73809524,11.04761905,3.833333333,1.622998479,0.607630209,,2015,2019,5,0.15890411,58,51,20,5,11.6,10.2,4,1.073853584,0.413492312
1055,Multiannual,7.1,Fouralls,367925,332175,52.886058,-2.478114,Permian Sandstone,sandy loam,sandy loam,1.980755488,1.393011961,282.6255817,7.724265635,0.006347104,4.677567044,100021.0236,320.6149503,111.1371627,,1971,2014,44,1.482191781,514,468,165,44,11.68181818,10.63636364,3.75,11.60435009,1.058622332,,2015,2019,5,0.123287671,57,51,19,5,11.4,10.2,3.8,12.19768445,0.481994229
1056,Annual,1,Alresford Road Avington,454325,129425,51.061597,-1.226164,Chalk,loam,loam,2.372991787,1.433196101,283.1785996,8.220511404,0.006589841,4.274703461,100394.7285,319.5725457,119.0159309,,1980,2014,35,1.071232877,407,365,129,35,11.62857143,10.42857143,3.685714286,38.88897847,1.122909354,,2015,2019,5,0.18630137,58,57,20,5,11.6,11.4,4,38.95567889,1.048484964
1060,Annual,1,Walshford Sandstone,441201,453298,53.9741,-1.373338,Triassic Sandstone,loam,clay loam,1.820636688,1.411449162,282.6518951,7.197851421,0.006263635,4.604099646,101151.7889,320.2622962,111.6429011,,1985,2014,30,0.504109589,347,346,117,30,11.56666667,11.53333333,3.9,1.342326359,0.286971094,,2015,2019,5,0.342465753,54,52,20,5,10.8,10.4,4,1.231013519,0.313974914
1061,Multiannual,6.1,Greatwell,310230,93968,50.738358,-3.273529,Triassic Sandstone,sandy loam,sandy loam,2.551403775,1.394361298,283.5035689,6.729059364,0.00682178,4.079719091,100479.1787,322.2148717,121.2601582,,1973,2014,42,0.438356164,2383,483,165,42,56.73809524,11.5,3.928571429,15.16676465,0.956302915,,2015,2019,5,0.77260274,1514,52,18,5,302.8,10.4,3.6,15.87241862,0.525094593
